BD,ID,SMILES
BIOFACQUIM_V2,FQNP502_Stauranthus,c1(C2OCC3C(c4cc5OCOc5cc4)OCC23)cc2OCOc2cc1
BIOFACQUIM_V2,FQNP281_Scaphyglottis,[C@H](CCC(C(=C)C)(C)C)(C)[C@@H]1[C@]2(C)[C@](C)(C3[C@](C)([C@]45O[C@H](C(C)(C)C4CC3)CC5)CC2)CC1
BIOFACQUIM_V2,FQNP553_Axinyssa,S=C=N[C@@]1(C)[C@H]2[C@@](C)(CC[C@@](OO)(C(=C)C)C2)CCC1
BIOFACQUIM_V2,FQNP552_Axinyssa,S=C=N[C@@]1(C)[C@H]2[C@@](C)(CC[C@@](O)(C(=C)C)C2)CCC1
BIOFACQUIM_V2,FQNP639_Aristolochia,S(CCC(=O)N)[C@H]1c2c(OC)cccc2-c2c(OC)c(OC)cc3C(=O)ON=C1c23
BIOFACQUIM_V2,FQNP640_Aristolochia,S(CC(=O)/C=C/c1cc(OC)c(O)cc1)[C@H]1c2c(OC)cccc2-c2c(OC)c(OC)cc3C(=O)ON=C1c23
BIOFACQUIM_V2,FQNP262_Haematoxylon,Oc1cc(O)cc(O)c1
BIOFACQUIM_V2,FQNP315_Epidendrum,Oc1cc(O)cc(CCc2ccc(O)cc2)c1
BIOFACQUIM_V2,FQNP314_Epidendrum,Oc1cc(O)cc(CCc2cc(O)ccc2)c1
BIOFACQUIM_V2,FQNP394_Parmotrema,Oc1cc(O)cc(C)c1
BIOFACQUIM_V2,FQNP513_Psacalium,Oc1c2occ(C)c2c(C)c2[C@@H](C)CCCc12
BIOFACQUIM_V2,FQNP608_Cannabis,Oc1c2[C@H]3[C@H]4[C@](C)(O4)CC[C@@H]3C(C)(C)Oc2cc(CCCCC)c1
BIOFACQUIM_V2,FQNP605_Cannabis,Oc1c2[C@@H]3C(O)=C(C)CC[C@@H]3C(C)(C)Oc2cc(CCCCC)c1
BIOFACQUIM_V2,FQNP257_Haematoxylon,Oc1c(O)ccc2[C@@H]3[C@](O)(COc12)Cc1c3cc(O)c(O)c1
BIOFACQUIM_V2,FQNP258_Haematoxylon,Oc1c(O)cc2c([C@H]3[C@](O)(COc4c3ccc(O)c4)C2)c1
BIOFACQUIM_V2,FQNP289_Iostephane,Oc1c(C)ccc([C@@H](CCC2C(C)(C)O2)C)c1
BIOFACQUIM_V2,FQNP288_Iostephane,Oc1c(C)ccc([C@@H](CC/C=C(\C)/C)C)c1
BIOFACQUIM_V2,FQNP479_Heterotheca,Oc1c(C)cc2c(C(C)C)ccc(C)c2c1
BIOFACQUIM_V2,FQNP475_Heterotheca,Oc1c(C)cc2[C@H](C(C)C)C[C@@H]3[C@](O)(c2c1)Cc1c2c(C)ccc(C(C)C)c2cc(C)c1O3
BIOFACQUIM_V2,FQNP617_Heterotheca,Oc1c(C)cc2[C@@H](C(C)C)CCC(C)c2c1
BIOFACQUIM_V2,FQNP384_Iostephane,Oc1c(C)cc([C@@H](CC/C=C(\C)/C)C)cc1
BIOFACQUIM_V2,FQNP146_Hofmeisteria,Oc1c(C(C)C)ccc(C)c1
BIOFACQUIM_V2,FQNP615_Heterotheca,O[C@]12[C@]3(C)[C@H](C(C)(C)C3)CC[C@](C)(C(O)CC1)C2
BIOFACQUIM_V2,FQNP474_Cedrela,O[C@]1(C)[C@H]2[C@H]([C@H](C(C)C)CC1)C=C(C)CC2
BIOFACQUIM_V2,FQNP292_Geranium,O[C@H]1[C@@]2(c3ccc(O)cc3)Oc3c(c(O)cc(O)c3)[C@@H]1c1c3O[C@@H]([C@@H](O)Cc3c(O)cc1O2)c1cc(O)c(O)cc1
BIOFACQUIM_V2,FQNP493_Croton,O[C@H]1[C@@](O)(C)[C@H]2[C@@H]([C@@]3(C)OO[C@@H]2C3)C[C@@H](C(C)C)C1
BIOFACQUIM_V2,FQNP274_Hippocratea,O[C@H]1[C@@H](c2cc(O)c(O)cc2)Oc2c(c(O)cc(O)c2)C1
BIOFACQUIM_V2,FQNP625_Ageratina,O[C@H]1[C@@H](O)[C@](O)(C)C=C[C@@H]1C(C)C
BIOFACQUIM_V2,FQNP624_Ageratina,O[C@H]1[C@@H](O)[C@@](O)(C)C=C[C@@H]1C(C)C
BIOFACQUIM_V2,FQNP604_Cannabis,O[C@H]1C(C)=C[C@@H]2[C@@H](C(C)(C)Oc3c2c(O)cc(CCCCC)c3)C1
BIOFACQUIM_V2,FQNP607_Cannabis,O[C@H]1C(=C)CC[C@@H]2C(C)(C)Oc3c(c(O)cc(CCCCC)c3)[C@@H]12
BIOFACQUIM_V2,FQNP398_Angelica,O[C@H](C#CC#C[C@H](O)C=C)/C=C\CCCCCCC
BIOFACQUIM_V2,FQNP402_Hofmeisteria,O[C@@]12c3c(OC1O[C@]1([C@@H](C)Oc4c1ccc(C)c4)CC2)cc(C)cc3
BIOFACQUIM_V2,FQNP26_Penicillium,O[C@@H]1[C@]2(C(=C)C)O[C@@H]2[C@]2(C)[C@@H](C)[C@H](O)CCC2=C1
BIOFACQUIM_V2,FQNP603_Cannabis,O[C@@H]1[C@](O)(C)CC[C@H]2C(C)(C)Oc3c(c(O)cc(CCCCC)c3)[C@H]12
BIOFACQUIM_V2,FQNP610_Cannabis,O[C@@H]1[C@](O)(C)CC[C@@H]2C(C)(C)Oc3c(c(O)cc(CCCCC)c3)[C@@H]12
BIOFACQUIM_V2,FQNP194_Vauquelinia,O[C@@H]1[C@H](c2cc(O)c(O)cc2)Oc2c(c(O)cc(O)c2)C1
BIOFACQUIM_V2,FQNP492_Croton,O[C@@H]1[C@@]23[C@H](C)CC[C@@H](C2(C)C)C[C@H]3C(=C)C1
BIOFACQUIM_V2,FQNP293_Geranium,O[C@@H]1[C@@]2(c3ccc(O)cc3)Oc3c(c(O)cc4O[C@]5([C@H](O)[C@H](c6c(O)cc(O)cc6O5)c34)c3ccc(O)cc3)[C@@H]1c1c3O[C@@H]([C@@H](O)Cc3c(O)cc1O2)c1ccc(O)cc1
BIOFACQUIM_V2,FQNP374_Hofmeisteria,O[C@@H]1[C@@]2(O[C@H]3[C@](O)(c4c(c(C)ccc4)O3)CC2)c2c(O1)cc(C)cc2
BIOFACQUIM_V2,FQNP576_Acacia,O[C@@H]1O[C@H]2C(C)=C(C=C)CC[C@@H]2[C@]2(C)[C@H](C(C)(C)CCC2)C1
BIOFACQUIM_V2,FQNP495_Solanum,O[C@@H]1C[C@@H]2[C@@H](c3c(C)cccc3C)CC3[C@@](C)([C@@]2(C)CC1)CC[C@]1(C)[C@H]2[C@H](C)C4(O[C@@]2(C)C[C@@H]31)CCC(C)CC4
BIOFACQUIM_V2,FQNP144_Cyrtocarpa,O[C@@H]1CC=2[C@@](C)([C@@H]3[C@H]([C@H]4[C@@](C)([C@@H]([C@@H](CC[C@H](C(C)C)CC)C)CC4)CC3)CC=2)CC1
BIOFACQUIM_V2,FQNP324_Botryosphaeria,O[C@@H]1CC=2[C@@](C)([C@@H]3C([C@H]4[C@@](C)([C@@H]([C@@H](/C=C/[C@@H](C(C)C)C)C)CC4)CC3)=CC=2)CC1
BIOFACQUIM_V2,FQNP348_Tillandsia,O[C@@H]1C(C)(C)[C@H]2[C@@]3([C@]4([C@H]([C@@]5(C)[C@@](C)([C@@H]([C@@H](CC[C@@H](C(=C)C)C)C)CC5)CC4)CC2)C3)CC1
BIOFACQUIM_V2,FQNP143_Cyrtocarpa,O[C@@H]1C(C)(C)[C@H]2[C@@](C)([C@@H]3[C@](C)([C@@]4(C)C([C@H]5[C@@](C)(CC4)CCC(C)(C)C5)=CC3)CC2)CC1
BIOFACQUIM_V2,FQNP644_Bursera,O[C@@H]1C(C)(C)C=2[C@@](C)(C3C(C4[C@@](C)(C(C(CC[C@H](C(C)C)CC)C)CC4)CC3)CC=2)CC1
BIOFACQUIM_V2,FQNP275_Scaphyglottis,O[C@@H]1C(C)(C)C2[C@@]3([C@]4(C([C@@]5(C)[C@@](C)([C@@H]([C@@H](CCC(C(=C)C)(C)C)C)CC5)CC4)CC2)C3)CC1
BIOFACQUIM_V2,FQNP283_Scaphyglottis,O[C@@H]1C(C)(C)C2[C@@](C)(C=3C([C@@]4(C)[C@@](C)([C@@H]([C@@H](CC[C@@H](C(=C)C)C)C)CC4)CC=3)CC2)CC1
BIOFACQUIM_V2,FQNP284_Scaphyglottis,O[C@@H]1C(C)(C)C2[C@@](C)(C=3C([C@@]4(C)[C@@](C)([C@@H]([C@@H](CCC(C(=C)C)(C)C)C)CC4)CC=3)CC2)CC1
BIOFACQUIM_V2,FQNP645_Bursera,O[C@@H]1C(C)(C)C2[C@@](C)(C3[C@](C)([C@@]4(C)C(C5[C@@H](C)[C@H](C)CC[C@]5(C)CC4)=CC3)CC2)CC1
BIOFACQUIM_V2,FQNP35_Malbranchea,O[C@@H]([C@@H](O)C)C[C@H]1OCc2c(O)cccc12
BIOFACQUIM_V2,FQNP426_Flourensia,OC[C@]1(C)[C@H]2C1[C@@H]1[C@H](C)CC[C@@H]1[C@](O)(C)CC2
BIOFACQUIM_V2,FQNP202_Prunus,OC[C@@]12[C@@H]([C@@H](C)[C@H](C)CC1)C=1[C@](C)([C@@]3(C)[C@@H]([C@]4(C)[C@H](C(C)(C)[C@@H](O)CC4)CC3)CC=1)CC2
BIOFACQUIM_V2,FQNP322_Botryosphaeria,OCCc1ccc(O)cc1
