BD,ID,SMILES
INACTIVO,MC2-3,CCCCCC(=O)N[C@H]1CCSC1=O
INACTIVO,CA7,O=C(Cc1cc(Br)cc(Br)c1OC(=O)c2ccccc2F)Nc3ccccc3N(=O)=O
INACTIVO,AM10,[H][C@]1(NC(=O)CC(=O)CCCCCCCCCCSS(C)(=O)=O)CCOC1=O
INACTIVO,CA9,O=C(Cc1cc(Br)cc(Br)c1OC(=O)c2ccccc2I)Nc3ccccc3N(=O)=O
INACTIVO,CA34,O=C(NCc1cc(Br)cc(Br)c1OC(=O)c2ccccc2Cl)c3ccncn3
INACTIVO,BO8,CCCCCCCCC(=O)CC(=O)NC1CCC[C@@H]1O
INACTIVO,MC2-7,O=C(Cc1ccccc1)N[C@H]2CCSC2=O
INACTIVO,MC2-11,O=C(Cc2ccc(c1ccccc1)cc2)N[C@H]3CCSC3=O
INACTIVO,MO14,O=C(CCCOc1cccc(Br)c1)N[C@H]2CCSC2=O
INACTIVO,AM9,[H][C@]1(NC(=O)CC(=O)CCCCCCCCCSS(C)(=O)=O)CCOC1=O
INACTIVO,MC2-9,COc2ccc(CC(=O)N[C@H]1CCSC1=O)cc2
INACTIVO,AM8,[H][C@]1(NC(=O)CC(=O)CCCCCCCCSS(C)(=O)=O)CCOC1=O
INACTIVO,ST8,Cc3ccc(n2cc(CCC(=O)N[C@H]1CCOC1=O)nn2)cc3
INACTIVO,ST4,O=C(Cn2cc(C1CCCCC1)nn2)N[C@H]3CCOC3=O
INACTIVO,MC2-1,CCCC(=O)CC(=O)N[C@H]1CCSC1=O
INACTIVO,ST6,O=C(Cn2cc(c1cc(F)cc(F)c1)nn2)N[C@H]3CCOC3=O
INACTIVO,CH166,O=C(CCCc1c[nH]c2c1cccc2)N[C@@H](CCO1)C1=O
INACTIVO,GE1-2,O=C(CCCc1c[nH]c2ccccc12)N[C@H]3CCOC3=O
INACTIVO,MA4,CCCCCCCCCC(=O)CC(=O)NC1CCCCC1=O
INACTIVO,ST5,O=C(Cn2cc(c1ccccc1)nn2)N[C@H]3CCOC3=O
INACTIVO,OR2-3,O=C(NCc1ccc(F)c(F)c1)c2ccccc2N(=O)=O
INACTIVO,CH168,O=C(Cc(cc1)ccc1Br)N[C@@H](CCO1)C1=O
INACTIVO,ST3,O=C(Cn2cc(C1CCCC1)nn2)N[C@H]3CCOC3=O
INACTIVO,ST7,COc3ccc(n2cc(CCC(=O)N[C@H]1CCOC1=O)nn2)cc3
INACTIVO,MO21,CCCCCCCCCC(=O)CC(=O)Nc1ccccc1O
INACTIVO,ST1,CCCCc2cn(CC(=O)N[C@H]1CCOC1=O)nn2
INACTIVO,MO9,O=C(CCCOc1ccc(Cl)cc1)N[C@H]2CCOC2=O
INACTIVO,OR2-1,O=C(NCc1cccc(F)c1)c2ccccc2N(=O)=O
INACTIVO,OR2-12,O=C(NCCc1ccccc1)c2ccccc2N(=O)=O
INACTIVO,CA38,O=C(Cc1cc(Br)cc(Br)c1OC(=O)CCn2c(=O)ccc2=O)NC3CCOC3=O
INACTIVO,OR2-15,O=C(NCc1cccc(N(=O)=O)c1)c2ccccc2N(=O)=O
INACTIVO,ME4,O=C(CCCCCCCCNC(=O)CBr)CC(=O)N[C@H]1CCOC1=O
INACTIVO,CH194,O=C(CCCCCCCCCN=C=S)CC(N[C@@H](CCO1)C1=O)=O
INACTIVO,MA5,CCCCCCCCCCCCCn1nnc(CC(=O)O)n1
INACTIVO,OB3,CCCCCCCCCCC(=O)CC(=O)N[C@H]1CCOC1=O.N=C=S
INACTIVO,CH167,O=C(CC1C=CCC1)N[C@@H](CCO1)C1=O
INACTIVO,GE1-3,O=C(CC1/C=C\CC1)N[C@H]2CCOC2=O
INACTIVO,SK3,Cc1cccnc1NC(=O)c3cc(C(=O)Nc2ncccc2C)n(C)n3
INACTIVO,OR2-10,O=C(NCc1ccc(C(F)(F)F)cc1)c2ccccc2N(=O)=O
INACTIVO,OR2-11,C[C@H](CNC(=O)c1ccccc1N(=O)=O)c2ccccc2
INACTIVO,GE1-7,CCCCCC(=O)CC(=O)Nc1ccccc1O
INACTIVO,ME5,O=C(CCCCCCCCN=C=S)CC(=O)N[C@H]1CCOC1=O
INACTIVO,MO2,CCCC(=O)CC(=O)N[C@H]1CCOC1=O
INACTIVO,OR2-13,CCCCCCNC(=O)c1ccccc1N(=O)=O
INACTIVO,CA29,O=C(Cc1cc(Br)cc(Br)c1OC(=O)c2ccccc2Cl)Nc3ccccn3
INACTIVO,OR2-4,O=C(NCc1ccc(F)cc1F)c2ccccc2N(=O)=O
INACTIVO,CH186,O=C(CCCCCCCCCCN=C=S)CC(N[C@@H](CCO1)C1=O)=O
INACTIVO,CA2,O=C(Cc1cc(Br)cc(Br)c1OC(=O)c2cccc(Cl)c2)Nc3ccccc3N(=O)=O
INACTIVO,CA3,O=C(Cc1cc(Br)cc(Br)c1OC(=O)c2ccc(Cl)cc2)Nc3ccccc3N(=O)=O
INACTIVO,CA5,O=C(Cc1cc(Br)cc(Br)c1OC(=O)c2cccc(Br)c2)Nc3ccccc3N(=O)=O
INACTIVO,CA6,O=C(Cc1cc(Br)cc(Br)c1OC(=O)c2ccc(Br)cc2)Nc3ccccc3N(=O)=O
INACTIVO,CA8,O=C(Cc1cc(Br)cc(Br)c1OC(=O)c2ccc(F)cc2)Nc3ccccc3N(=O)=O
INACTIVO,CA11,Cc3cccc(C(=O)Oc1c(Br)cc(Br)cc1CC(=O)Nc2ccccc2N(=O)=O)c3
INACTIVO,CA12,Cc3ccc(C(=O)Oc1c(Br)cc(Br)cc1CC(=O)Nc2ccccc2N(=O)=O)cc3
INACTIVO,CA18,O=C(Cc1cc(Br)cc(Br)c1OC(=O)c2ccccc2)Nc3ccccc3N(=O)=O
INACTIVO,CA21,O=C(Cc1cc(Br)cc(Br)c1OC(=O)c2ccccc2Cl)Nc3cccc(N(=O)=O)c3
INACTIVO,CA22,O=C(Cc1cc(Br)cc(Br)c1OC(=O)c2ccccc2Cl)Nc3ccc(N(=O)=O)cc3
INACTIVO,PE5,CCCCCCCCCSCC(=O)N[C@@H]1CCOC1=O
INACTIVO,PE7,Cc2ccc(SCC(=O)N[C@@H]1CCOC1=O)cc2
INACTIVO,PE22,CCCCCCCS(=O)CC(=O)N[C@H]1CCOC1=O
INACTIVO,MO15,CCCCCCCCCC(=O)NC1CCCC1
INACTIVO,CH165,CCCCCCC(N[C@@H](CCO1)C1=O)=O
INACTIVO,GE1-5,CCCCCCC(=O)N[C@H]1CCOC1=O
INACTIVO,OB14,O=C(Cn1c(=O)ccc1=O)Oc2c(Br)cc(Br)cc2CNC(=O)c3ccccc3N(=O)=O
INACTIVO,OR2-14,O=C(NCC/C1=C/CCCC1)c2ccccc2N(=O)=O
INACTIVO,SK4,O=N(=O)c1ccccc1S(=O)(=O)Nc3ccc(S(=O)(=O)Nc2nccs2)cc3
INACTIVO,CA32,O=C(NCc1cc(Br)cc(Br)c1OC(=O)c2ccccc2Cl)c3cccc(F)c3F
INACTIVO,MO18,O=C(Nc1ccccc1NC(=O)c2cccc(Cl)c2)c3cccc(Cl)c3
INACTIVO,OB9,O=C(CCl)NC(=O)Oc1c(Br)cc(Br)cc1CC(=O)Nc2ccccc2N(=O)=O
INACTIVO,PE16,CCCCCCCSCC(=O)NC1CCCCC1
INACTIVO,CA36,O=C(CCCn1c(=O)ccc1=O)Oc2c(Br)cc(Br)cc2CNC(=O)c3ccccn3
INACTIVO,OB13,O=C(Cc1cc(Br)cc(Br)c1OC(=O)CCn2c(=O)ccc2=O)Nc3ccccc3N(=O)=O
INACTIVO,CA30,O=C(NCc1cc(Br)cc(Br)c1OC(=O)c2ccccc2Cl)c3ccccn3
