BD,ID,SMILES
LASR-AGONISTA,OR6,O=C(NCc1cc(Br)cc(Br)c1OC(=O)c2ccccc2N(=O)=O)c3ccccc3N(=O)=O
LASR-AGONISTA,CA28,O=C(Cc1cc(Br)cc(Br)c1OC(=O)c2ccccc2Cl)N[C@H]3CCOC3=O
LASR-AGONISTA,OR7,COc1ccccc1C(=O)Oc2c(Br)cc(Br)cc2CNC(=O)c3ccccc3N(=O)=O
LASR-AGONISTA,OR5,O=C(NCc1cc(Br)cc(Br)c1OC(=O)c2ccccc2)c3ccccc3N(=O)=O
LASR-AGONISTA,BO1,CCCCCCCCC(=O)CC(=O)N[C@H]1CCOC1=O
LASR-AGONISTA,BO3,CCCCCCCCC(=O)CC(=O)N[C@@H]1CCSC1=O
LASR-AGONISTA,OR10,O=C(NCc1cc(Br)cc(Br)c1OC(=O)c2ccc(Br)cc2)c3ccccc3N(=O)=O
LASR-AGONISTA,OR1,CCCCCCCCCC(=O)CC(=O)N[C@H]1CCOC1=O
LASR-AGONISTA,OR9,O=C(NCc1cc(Br)cc(Br)c1OC(=O)c2ccc(Cl)cc2)c3ccccc3N(=O)=O
LASR-AGONISTA,CH210,[O-][N+](c(cccc1)c1NC(Cc1cc(Br)cc(Br)c1OC(CCN(C(CC1)=O)C1=O)=O)=O)=O
LASR-AGONISTA,OR17,O=C(NCc1cc(Br)cc(Br)c1OC(=O)c2ccccc2N(=O)=O)c3ccccc3Cl
LASR-AGONISTA,OR8,N#Cc1ccccc1C(=O)Oc2c(Br)cc(Br)cc2CNC(=O)c3ccccc3N(=O)=O
LASR-AGONISTA,CH1,CCCCCCCCCC(CC(N[C@@H](CCO1)C1=O)=O)=O
LASR-AGONISTA,CH205,CCCCCCCCCC(CC(N[C@@H](CCS1)C1=O)=O)=O
LASR-AGONISTA,LO6,CCCCCCCCCC(=O)CC(=O)NC1CCSC1=O
LASR-AGONISTA,OR18,O=C(NCc1cc(Br)cc(Br)c1OC(=O)c2ccccc2Cl)c3ccccc3Cl
