BD,ID,SMILES
NuBBE,NuBBE_1927,C(=C)(C)[C@@H]1C[C@@H]2C(C)=CCC[C@@]2(C)CC1
NuBBE,NuBBE_1545,C(=C)(C)[C@@H]1C[C@H]2C(C)=CCC[C@]2(C)CC1
NuBBE,NuBBE_1417,C(=C)(C)[C@@H]1[C@](C=C)(C)CCC(=C(C)C)C1
NuBBE,NuBBE_1404,C(=C)(C)[C@@H]1[C@](C=C)(C)CCC(C(C)C)=C1
NuBBE,NuBBE_1943,C(=C)(C)[C@H]1C/C=C(\C)/CC/C=C(\C)/CC/C=C(/C)\CC1
NuBBE,NuBBE_1940,C(=C)(C)[C@H]1C=C2[C@H](C)CC[C@@H]2[C@H](C)CC1
NuBBE,NuBBE_1919,C(=C)(C)[C@H]1CC=2[C@@H](C)CCC=2[C@@H](C)CC1
NuBBE,NuBBE_1914,C(=C)(C)[C@H]1CC=C(C)CC1
NuBBE,NuBBE_1922,C(=C)(C)[C@H]1C[C@H]2C(=C)CCC[C@]2(C)CC1
NuBBE,NuBBE_1539,C(=C)(C)[C@H]1[C@@](C=C)(C)CC[C@@H](C(=C)C)C1
NuBBE,NuBBE_2268,C(=C)(C)c1c2nc3c(nc2c2c(C)ccc(C)c2c1)cccc3
NuBBE,NuBBE_2124,C(=C)CCCC
NuBBE,NuBBE_2125,C(=C)CCCCC
NuBBE,NuBBE_2122,C(=C)CCCCCC
NuBBE,NuBBE_2114,C(=C)CCCCCCC
NuBBE,NuBBE_2118,C(=C)CCCCCCCC
NuBBE,NuBBE_2117,C(=C)CCCCCCCCC
NuBBE,NuBBE_2105,C(=C)CCCCCCCCCC
NuBBE,NuBBE_2112,C(=C)CCCCCCCCCCC
NuBBE,NuBBE_2111,C(=C)CCCCCCCCCCCC
NuBBE,NuBBE_2113,C(=C)CCCCCCCCCCCCC
NuBBE,NuBBE_733,C(=C)Cc1cc2OCOc2cc1
NuBBE,NuBBE_1977,C(=C)[C@@H]1SSC=CC1
NuBBE,NuBBE_1978,C(=C)[C@@H]1SSCC=C1
NuBBE,NuBBE_1917,C(=C)[C@]1(C)C=C2[C@H]([C@@]3(C)[C@H](C(C)(C)CCC3)CC2)CC1
NuBBE,NuBBE_1743,C(=C/C/C=C(/CCC=C(C)C)\C)(\C=C)/C
NuBBE,NuBBE_1921,C(=C/CC=C(C)C)(\C=C)/C
NuBBE,NuBBE_1598,C(=C/c1nc2c(cc1)cccc2)\CCC
NuBBE,NuBBE_1543,C(=CC/C=C(/C)\[C@H]1CC=C(C)CC1)(C)C
NuBBE,NuBBE_1544,C(=CCC/C(/C)=C\1/CC=C(C)CC/1)(C)C
NuBBE,NuBBE_1501,C(=CCCC(=C)[C@H]1CC=C(C)CC1)(C)C
NuBBE,NuBBE_1732,C(=CCC[C@]1(C)[C@@H]2C(C)=CC[C@H]1C2)(C)C
NuBBE,NuBBE_1086,C(=CC[C@H]1[C@H](c2cc3c([nH]cc3)cc2)OCC1=C)(C)C
NuBBE,NuBBE_1733,C(C)(C)=C1C/C=C(\C)/CC/C=C(/C)\CC1
NuBBE,NuBBE_1754,C(C)(C)=C1CC=2[C@@H](C)CCC=2[C@@H](C)CC1
NuBBE,NuBBE_2337,C(C)(C)=C1CC=2[C@@H](C)CCC=2[C@H](C)CC1
NuBBE,NuBBE_1740,C(C)(C)=C1CC=C(C)CC1
NuBBE,NuBBE_1946,C(C)(C)C1=C2[C@H]([C@H](C)CC1)CCC(C)=C2
NuBBE,NuBBE_1902,C(C)(C)C1=CC=C(C)CC1
NuBBE,NuBBE_1750,C(C)(C)C1=CCC(C)=CC1
NuBBE,NuBBE_1340,C(C)(C)C=1c2c([C@@H](C)CC=1)ccc(C)c2
NuBBE,NuBBE_2335,C(C)(C)[C@@H]1C=2[C@H]([C@H](C)CC1)CCC(=C)C=2
NuBBE,NuBBE_1403,C(C)(C)[C@@H]1[C@@H]2[C@H](C(=C)CC1)CCC(C)=C2
NuBBE,NuBBE_1944,C(C)(C)[C@@H]1[C@H]2[C@@H](C(=C)CC1)CCC(C)=C2
NuBBE,NuBBE_1935,C(C)(C)[C@@H]1[C@H]2[C@H]3C(C)=CC[C@@H]2[C@]3(C)CC1
NuBBE,NuBBE_1338,C(C)(C)[C@@H]1c2c(C(C)=CC1)ccc(C)c2
NuBBE,NuBBE_1429,C(C)(C)[C@H]1/C=C\C(=C)CC/C=C(/C)\CC1
NuBBE,NuBBE_1751,C(C)(C)[C@H]1C=CC(C)=CC1
NuBBE,NuBBE_1538,C(C)(C)[C@H]1[C@@H]2[C@H]3C(=C)CC[C@@]23[C@H](C)CC1
NuBBE,NuBBE_940,C(C)(C)[C@H]1[C@@H]2[C@H]3C(C)=CC[C@@H]2[C@@]3(C)CC1
NuBBE,NuBBE_1083,C(C)(C)[C@H]1[C@@H]2[C@H]3C(C)=CC[C@@]23[C@H](C)CC1
NuBBE,NuBBE_1923,C(C)(C)[C@H]1[C@H]2C(=C(C)CC1)CCC(C)=C2
NuBBE,NuBBE_1496,C(C)(C)[C@H]1[C@H]2C([C@@H](C)CC1)=CCC(C)=C2
