BD,ID,SMILES
PQSR-AGONISTA,LU3-3,CCCCCCCc2[nH]c1ccc(N(=O)=O)cc1c(=O)c2O
PQSR-AGONISTA,LU3-1,CCCCCCCc2[nH]c1ccccc1c(=O)c2O
PQSR-AGONISTA,IL5,CCCCCCCc2[nH]c1cc(Cl)ccc1c(=O)c2O
PQSR-AGONISTA,CH6,CCCCCCCC(Nc(cccc1)c1C1=O)=C1O
PQSR-AGONISTA,IL6,CCCCCCCc2[nH]c1ccccc1c(=O)c2N
PQSR-AGONISTA,IL3,CCCCCCCCCc2cc(=O)c1ccccc1[nH]2
PQSR-AGONISTA,CH35,NC(c1cc2ccccc2cc1)=O
PQSR-AGONISTA,CH1,CC(C)(C)c(cc1)ccc1C(N)=O
PQSR-AGONISTA,IL4,CCCCCCCCCc2[nH]c1ccccc1c(=O)c2O
PQSR-AGONISTA,CH72,Nc1nnc(-c2cccc(C(F)(F)F)c2)o1
PQSR-AGONISTA,IL12,CCCCCCCCCc2nc1cc(F)ccc1c(=O)n2OC
PQSR-AGONISTA,CH67,Nc1nnc(-c2cccc(Br)c2)o1
