BD,ID,SMILES
PQSR-ANTAGONISTA,LU12,CCCCCCCc2[nH]c1ccc(N(=O)=O)cc1c(=O)c2C(N)=O
PQSR-ANTAGONISTA,LU2,CCCCCCCc2cc(=O)c1cc(N(=O)=O)ccc1[nH]2
PQSR-ANTAGONISTA,LU1,CCCCCCCc2cc(=O)c1cc(C(F)(F)F)ccc1[nH]2
PQSR-ANTAGONISTA,LU11,CCCCCCCc2[nH]c1ccc(N(=O)=O)cc1c(=O)c2CO
PQSR-ANTAGONISTA,LU7,CCCCCOCc2cc(=O)c1cc(C(F)(F)F)ccc1[nH]2
PQSR-ANTAGONISTA,LU6,CCCCCCc2cc(=O)c1cc(C(F)(F)F)ccc1n2C
PQSR-ANTAGONISTA,LU8,CCCCCOCc2cc(=O)c1cc(N(=O)=O)ccc1[nH]2
PQSR-ANTAGONISTA,LU5,CCCCCCCc2cc(=O)c1cc(C(F)(F)F)ccc1n2C
PQSR-ANTAGONISTA,IL19,CCCCCCCCCc2nc1cc(F)c(F)cc1c(=O)n2N
PQSR-ANTAGONISTA,LU9,CCOCCCCc2cc(=O)c1cc(C(F)(F)F)ccc1[nH]2
PQSR-ANTAGONISTA,LU10,CCOCCCCc2cc(=O)c1cc(N(=O)=O)ccc1[nH]2
PQSR-ANTAGONISTA,IL18,CCCCCCCCCc2nc1cc(F)ccc1c(=O)n2N
PQSR-ANTAGONISTA,IL17,CCCCCCCCCc2nc1cc(Cl)ccc1c(=O)n2N
PQSR-ANTAGONISTA,SO10,Nc2nnc(c1ccc(Cl)cc1)s2
PQSR-ANTAGONISTA,ZE12,Nc2nnc(c1cccc(Br)c1)o2
PQSR-ANTAGONISTA,ZE13,Nc2nnc(c1cccc(C(F)(F)F)c1)o2
PQSR-ANTAGONISTA,IL21,CCCCCCCCCc2nc1ccc(Cl)cc1c(=O)n2CCN
