BD,ID,SMILES
QUIPRONAB,LPNV00002_Rutaceae,o1c2c(c3[nH]c4c(c3cc2)cccc4)cc1
QUIPRONAB,LPNV00680_N/A,c12c3c(ccc1cccc2)cccc3
QUIPRONAB,LPNV00687_N/A,c12c(cc3c(c1)cccc3)cccc2
QUIPRONAB,LPNV00034_Rutaceae,c1(C2OCC3C(c4cc5OCOc5cc4)OCC23)cc2OCOc2cc1
QUIPRONAB,LPNV00700_Piperaceae,[C@H]1(c2cc3OCOc3cc2)OC[C@H]2[C@@H](c3cc4OCOc4cc3)OC[C@@H]12
QUIPRONAB,LPNV00683_N/A,[C@H]1(c2cc3OCOc3cc2)OC[C@@H]2[C@@H](c3cc4OCOc4cc3)OC[C@H]12
QUIPRONAB,LPNV00179_Rutaceae,[C@@H]1(c2cc3OCOc3cc2)OCC2[C@@H](c3cc4OCOc4cc3)OCC12
QUIPRONAB,LPNV00692_N/A,S(=O)(=O)(O)CN(C)C=1C(=O)N(N(C)C=1C)c1ccccc1
QUIPRONAB,LPNV00329_Piperaceae,Oc1ccc(CC/C=C/CCCCCC)cc1
QUIPRONAB,LPNV00199_Lauraceae,Oc1ccc(-c2c(C)c3c(o2)ccc(/C=C/C)c3)cc1
QUIPRONAB,LPNV00344_Piperaceae,Oc1c(O)ccc(O)c1
QUIPRONAB,LPNV00334_Piperaceae,Oc1c(O)ccc(CC/C=C/CCCCCC)c1
QUIPRONAB,LPNV00702_Piperaceae,Oc1c(O)ccc(C(CCCC(CCCC(C)C)C)(CC)C)c1
QUIPRONAB,LPNV00699_Piperaceae,Oc1c(O)ccc(C(C=C)(CC/C=C(/CC/C=C(\C)/C)\C)C)c1
QUIPRONAB,LPNV00318_Piperaceae,Oc1c(CCCc2cc3OCOc3cc2)ccc(O)c1
QUIPRONAB,LPNV00715_N/A,Oc1c(CCC)cccc1
QUIPRONAB,LPNV00607_N/A,Oc1c(C)ccc(C(C)C)c1
QUIPRONAB,LPNV00714_N/A,Oc1c(C(C)C)ccc(C)c1
QUIPRONAB,LPNV00501_Myristicaceae,O[C@]1(C)[C@H]2C(C)(CCC(C(=C)C)C2)CCC1
QUIPRONAB,LPNV00272_Lauraceae,O[C@]1(C)C2[C@@H]3C(C)(C)[C@@H]3CCC(=C)C2CC1
QUIPRONAB,LPNV00206_Lauraceae,O[C@@]12OCC(C)=C1CC1C(=C)CC=C[C@]1(O)C2
QUIPRONAB,LPNV00429_Magnoliaceae,O[C@@]1(C)[C@@H]2[C@H]([C@H](C(C)C)CC1)C=C(C)CC2
QUIPRONAB,LPNV00624_N/A,O[C@@]1(C(C)C)CC=C(C)CC1
QUIPRONAB,LPNV00186_Lauraceae,O[C@@H]1[C@@H]2[C@H](C(C)CCCC3C(C)(C)C23)CC1
QUIPRONAB,LPNV00518_Myristicaceae,O[C@@H]1[C@@H](c2cc(O)c(O)cc2)Oc2c(ccc(O)c2)C1
QUIPRONAB,LPNV00533_Lauraceae,O[C@@H]1CC=2[C@@](C)([C@@H]3[C@H]([C@H]4[C@@](C)([C@@H]([C@@H](CC[C@H](C(C)C)CC)C)CC4)CC3)CC=2)CC1
QUIPRONAB,LPNV00531_Lauraceae,O[C@@H]1CC=2[C@@](C)([C@@H]3[C@H]([C@H]4[C@@](C)([C@@H]([C@@H](CC[C@H](C(C)C)C)C)CC4)CC3)CC=2)CC1
QUIPRONAB,LPNV00532_Lauraceae,O[C@@H]1CC=2[C@@](C)([C@@H]3[C@H]([C@H]4[C@@](C)([C@@H]([C@@H](/C=C/[C@H](C(C)C)CC)C)CC4)CC3)CC=2)CC1
QUIPRONAB,LPNV00570_Lauraceae,O[C@@H]1CC=2[C@@](C)([C@@H]3[C@H]([C@H]4[C@@](C)(C([C@@H](CC[C@@H](C(C)C)C)C)CC4)CC3)CC=2)CC1
QUIPRONAB,LPNV00466_Myristicaceae,O[C@@H]1CC=2[C@@](C)([C@@H]3[C@H]([C@H]4[C@@](C)(C([C@@H](CCCC(C)C)C)CC4)CC3)CC=2)CC1
QUIPRONAB,LPNV00038_Rutaceae,O[C@@H]1C(C)(C)[C@H]2[C@@](C)([C@@H]3[C@](C)([C@@]4(C)[C@@H]([C@H]5[C@H](C(=C)C)CC[C@]5(C)CC4)CC3)CC2)CC1
QUIPRONAB,LPNV00677_N/A,O[C@@H](c1c2c(ncc1)cccc2)[C@]1(C)N2CCC(C=C)(C1)CC2
QUIPRONAB,LPNV00400_Solanaceae,OCCc1ccc(O)cc1
QUIPRONAB,LPNV00541_Lauraceae,OCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC
QUIPRONAB,LPNV00353_Leguminosae,OCCCCCCCCCCCCCCCC
QUIPRONAB,LPNV00275_Lauraceae,OCCC(CCC=C(C)C)C
QUIPRONAB,LPNV00170_Rutaceae,OCC12C(C(C(=C)C)CC1)C1C(C3(C)C(C4(C)C(C(C)(C)C(O)CC4)=CC3)CC1)C(C)C2
QUIPRONAB,LPNV00109_Rutaceae,OCC12C(C(C(=C)C)CC1)C1C(C)(C3(C)C(C4(C)C(C(C)(C)[C@H](O)CC4)CC3)CC1)CC2
QUIPRONAB,LPNV00088_Rutaceae,OC1[C@@H](Cc2cc3OCOc3cc2)[C@H](Cc2cc3OCOc3cc2)CO1
QUIPRONAB,LPNV00409_Cannaceae,OC1CC=2[C@@](C)([C@@H]3C([C@H]4[C@@](C)([C@@H]([C@H](CC[C@H](C(C)C)CC)C)CC4)CC3)CC=2)CC1
QUIPRONAB,LPNV00364_Solanaceae,OC1CC=2[C@@](C)(C3C(C4[C@@](C)(C5C(C)C6N(C5C4)CC(C)C4C6OC(C)C4)CC3)CC=2)CC1
QUIPRONAB,LPNV00012_Rutaceae,OC1CC=2C(C)(C3C(C4C(C)(C(C(CCC(C(C)C)CC)C)CC4)CC3)CC=2)CC1
QUIPRONAB,LPNV00035_Rutaceae,OC1CC=2C(C)(C3C(C4C(C)(C(C(CCC(C(C)C)C)C)CC4)CC3)CC=2)CC1
QUIPRONAB,LPNV00011_Rutaceae,OC1CC=2C(C)(C3C(C4C(C)(C(C(/C=C/C(C(C)C)CC)C)CC4)CC3)CC=2)CC1
QUIPRONAB,LPNV00205_Lauraceae,OC1C(C)=C2[C@@](C3[C@@]4(C)C=CCC(=C)C4CC4=C(C)C(O)OC34)(O1)C[C@@]1(C)C=CCC(=C)C1C2
