BD,ID,SMILES
RHLR-AGONISTA,EI2,[H][C@]2(NC(=O)CC1CCCC1)CCOC2=O
RHLR-AGONISTA,EI12,[H][C@]2(NC(=O)Cc1cccc(C)c1)CCOC2=O
RHLR-AGONISTA,EI13,[H][C@]2(NC(=O)Cc1cccc(OC)c1)CCOC2=O
RHLR-AGONISTA,EI14,[H][C@]2(NC(=O)Cc1cccc(C#N)c1)CCOC2=O
RHLR-AGONISTA,EI19,[H][C@]2(NC(=O)C1CCCC1)CCOC2=O
RHLR-AGONISTA,BO3,O=C(N[C@H]1CCOC1=O)C2CCCC2
RHLR-AGONISTA,BO5,CC(C)C(=O)N[C@H]1CCOC1=O
RHLR-AGONISTA,BO2-6,CC(C)CC(=O)N[C@H]1CCOC1=O
RHLR-AGONISTA,BO9,O=C(N[C@H]1CCOC1=O)C2CCC2
RHLR-AGONISTA,BO10,O=C(CC1CC1)N[C@H]2CCOC2=O
RHLR-AGONISTA,BO11,CCCC(=O)N[C@H]1CCSC1=O
RHLR-AGONISTA,BO2-2,O=C(N[C@H]1CCSC1=O)C2CCC2
RHLR-AGONISTA,BO2-4,CC(C)CC(=O)N[C@H]1CCSC1=O
